,Club,Age,Height,National,Positions,TotAD,WonAD,LostAD,CrAss,CorAss,ThrbAss,FreAss,ThrInAss,OthAss,TotAss,BlkSh,BlkCr,BlkPs,YelC,RedC,TotClr,UnDrib,SucDrib,TotDrib,Fouled,Fouls,TotGs,SYBGs,PAGs,OOBGs,TotInt,TotKPs,LKPs,SKPs,COF,TotPs,AccLB,InAccLB,AccSP,InAccSP,UnTch,Dispo,TotSav,SYBSav,PASav,OOBSav,TotSh,OOBSh,SYBSh,PASh,TotTkl,DribPast,TotAttTkl,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,League,CLB,Main_position,Foot,Contract,Market_Value
10,Fiorentina,27 years old (15-06-1997),"1,77m",Iceland,"Attacking Midfielder (Centre, Left, Right), Forward",0.7,0.1,0.5,-,-,-,-,-,-,-,-,0.1,0.2,0.1,-,0.3,0.5,0.6,1.2,0.8,0.6,0.3,0.2,0.1,,0.3,0.5,0.1,0.5,0.1,19.7,0.5,0.5,16.5,2.1,1.3,0.6,-,-,-,-,1.1,0.5,-,0.6,0.4,0.5,0.9,Albert Gudmundsson,16(6),1232,6,1,2,-,1.1,86.4,0.1,1,6.62,SerieA,ACF Fiorentina,Second Striker,right,"Jun 30, 2025",€23.00m
11,Juventus,21 years old (29-09-2003),"1,86m",,Defender (Right),0.6,0.2,0.4,-,-,-,-,-,-,-,-,-,0.8,0.2,-,0.6,1,0.2,1.2,0.2,0.8,-,-,-,,0.2,0.2,-,0.2,-,17.4,0.4,0.2,14.8,2,0.6,-,-,-,-,-,0.4,-,-,0.4,1.2,0.2,1.4,Alberto Costa,0(5),116,-,-,1,-,0.4,87.4,0.2,-,6.23,SerieA,Juventus FC,Right-Back,right,"Jun 30, 2029",€10.00m
12,Como,26 years old (13-10-1998),"1,95m",Italy,Defender (Centre),3.7,2.7,1,-,-,-,-,-,0.1,0.1,0.5,0.1,0.5,-,-,3.8,0.1,0.2,0.3,0.7,1,-,-,-,,1,0.2,-,0.2,-,44,1.8,2,36.9,3.3,0.3,0.1,-,-,-,-,0.5,-,-,0.5,1.4,0.5,2,Alberto Dossena,20(3),1829,-,2,1,1,0.5,87.9,2.7,-,6.58,SerieA,Como 1907,Centre-Back,right,"Jun 30, 2028",€7.00m
13,Empoli,30 years old (07-03-1995),"1,83m",Italy,Defensive Midfielder (C),1.8,1,0.7,-,-,-,-,-,-,-,0.5,0.1,0.4,0.3,-,1.4,0.2,0.2,0.4,1.2,1,-,-,-,,1.2,0.3,-,0.3,-,29,1.4,2.4,20.8,4.4,1,0.6,-,-,-,-,0.4,-,-,0.4,1.4,0.2,1.7,Alberto Grassi,24(1),1964,1,-,8,1,0.4,76.6,1,-,6.46,SerieA,FC Empoli,Defensive Midfield,right,"Jun 30, 2026",€2.00m
14,Como,32 years old (05-07-1992),"1,71m",Spain,"Defender (Left), Midfielder (Left)",1.3,0.4,0.9,-,-,-,-,-,-,-,0.1,0.2,0.4,0.2,-,1.3,0.2,0.1,0.3,0.6,0.7,-,-,-,,0.6,0.8,0.1,0.7,-,37.4,1.9,2.1,29.9,3.5,0.8,0.1,-,-,-,-,0.6,0.4,-,0.2,1.1,0.5,1.7,Alberto Moreno,19(2),1560,-,-,4,-,0.6,85,0.4,-,6.36,SerieA,Como 1907,Left-Back,left,"Jun 30, 2025",€1.80m
15,Torino,32 years old (29-08-1992),"1,93m",Italy,Goalkeeper,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,,-,-,-,-,-,27,9,4,14,-,-,-,4,1,3,-,-,-,-,-,-,-,-,Alberto Paleari,1,90,-,-,-,-,-,85.2,1,-,6.95,SerieA,Torino FC,Goalkeeper,right,"Jun 30, 2026",€500k
16,Cagliari,27 years old (15-12-1997),"1,97m",Albania,Goalkeeper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-,-,-,-,-,,-,0.2,0.2,-,-,29.7,5.2,8,16.3,0.2,-,-,2.7,-,1.8,0.8,-,-,-,-,0.2,0.2,0.3,Alen Sherri,6,540,-,-,-,-,-,72.5,-,-,6.5,SerieA,Cagliari Calcio,Goalkeeper,right,"Jun 30, 2027",€1.00m
17,Inter,26 years old (13-04-1999),"1,90m",Italy,Defender (Centre),2.2,1.4,0.8,-,-,-,-,-,0.1,0.1,0.3,0.2,0.4,0.1,-,1.4,0.3,0.2,0.5,1.2,1.4,-,-,-,,0.7,0.8,0.1,0.7,-,60.9,4.2,2.9,51.2,2.6,0.8,0.2,-,-,-,-,0.4,0.1,0.1,0.2,1.3,0.3,1.6,Alessandro Bastoni,29(2),2253,1,4,4,1,0.4,90.9,1.4,-,6.89,SerieA,Inter Milan,Centre-Back,left,"Jun 30, 2028",€80.00m
18,Monza,22 years old (01-10-2002),"1,73m",Italy,Midfielder (Centre),1.2,0.4,0.8,-,-,-,-,-,-,-,0.5,0.1,0.8,0.3,-,1.4,0.7,0.6,1.3,1.5,1.3,-,-,-,,0.6,0.5,-,0.5,0.1,42.4,2.8,1.7,34.1,3.7,1.1,0.7,-,-,-,-,0.8,0.6,-,0.2,1.5,0.4,1.9,Alessandro Bianco,25(5),2271,1,-,8,-,0.8,87.3,0.4,-,6.37,SerieA,AC Monza,Central Midfield,right,"Jun 30, 2025",€5.00m
19,Napoli,25 years old (06-06-1999),"1,90m",Italy,Defender (Centre),3,2,1,-,-,-,-,-,-,-,0.8,-,0.5,0.1,-,3.3,0.3,-,0.3,1,0.8,-,-,-,,1.6,0.2,-,0.2,-,57.8,1.8,2,50.8,3.2,0.6,0.4,-,-,-,-,0.4,-,0.1,0.3,1.8,0.4,2.1,Alessandro Buongiorno,22,1926,1,-,2,-,0.4,91,2,-,7.03,SerieA,SSC Napoli,Centre-Back,left,"Jun 30, 2029",€45.00m
20,Parma Calcio 1913,21 years old (10-10-2003),"1,90m",Italy,Defender,2,1.3,0.8,-,-,-,-,-,-,-,1,0.3,0.3,0.3,-,7,-,-,-,0.5,0.8,-,-,-,,0.5,-,-,-,-,42.5,1.5,2.3,35.8,3,0.8,0.5,-,-,-,-,-,-,-,-,1,-,1,Alessandro Circati,4,360,-,-,1,-,-,87.6,1.3,-,6.35,SerieA,Parma Calcio 1913,Centre-Back,right,"Jun 30, 2029",€8.50m
21,Cagliari,29 years old (01-08-1995),"1,90m",Italy,Defensive Midfielder (C),2.3,1.2,1.1,-,-,-,-,-,-,-,0.4,0.1,0.4,0.2,-,1.2,-,0.1,0.1,0.4,1.1,-,-,-,,0.5,0.1,-,0.1,-,17,0.8,0.8,12.2,3.3,0.5,0.4,-,-,-,-,0.6,0.3,0.1,0.2,1,0.7,1.8,Alessandro Deiola,14(11),1215,1,1,5,-,0.6,76.3,1.2,-,6.35,SerieA,Cagliari Calcio,Central Midfield,right,"Jun 30, 2029",€1.60m
22,Como,30 years old (10-07-1994),"1,78m",Italy,Forward,1,0.2,0.8,-,-,-,-,-,0.1,0.1,-,-,-,0.1,-,0.1,-,-,-,0.3,0.4,0.1,-,-,,-,0.3,-,0.3,0.1,3.4,-,0.1,1.9,1.3,0.1,0.2,-,-,-,-,0.4,0.1,0.1,0.1,-,0.2,0.2,Alessandro Gabrielloni,0(14),129,1,1,1,-,0.4,57.4,0.2,-,6.13,SerieA,Como 1907,Centre-Forward,right,"Jun 30, 2027",€1.00m
23,Venezia,22 years old (25-10-2002),"1,90m",,Defender (Centre),3.4,1.7,1.7,-,-,-,-,-,-,-,0.4,0.7,0.4,0.3,-,3,0.1,-,0.1,-,1.1,-,-,-,,0.3,-,-,-,-,18.7,1,1.9,12.9,3,0.6,-,-,-,-,-,0.3,-,0.1,0.1,1,0.4,1.4,Alessandro Marcandalli,5(2),344,-,-,2,-,0.3,74,1.7,-,6.34,SerieA,Venezia FC,Centre-Back,right,"Jun 30, 2025",€2.00m
24,Parma Calcio 1913,26 years old (14-09-1998),"1,86m",Italy,Defender (Centre),3.3,1.9,1.4,-,-,-,-,-,-,-,1,0.1,0.5,0.2,-,3.6,-,0.1,0.1,0.5,1,-,-,-,,0.3,0.3,0.1,0.2,-,47.5,2.8,2.2,40.9,1.6,0.4,-,-,-,-,-,0.1,-,-,0.1,0.5,0.2,0.7,Alessandro Vogliacco,10,775,-,-,2,-,0.1,92,1.9,-,6.43,SerieA,Parma Calcio 1913,Centre-Back,right,"Jun 30, 2025",€2.00m
25,Genoa,24 years old (03-10-2000),"1,88m",Italy,"Defender (Right), Midfielder (Right)",1.4,0.7,0.6,-,-,-,-,-,-,-,0.1,0.3,0.5,0.1,-,1.1,1.3,0.6,1.9,0.7,0.6,-,-,-,,0.4,0.7,0.1,0.5,-,13.1,0.3,0.8,9.2,2.9,1.1,0.3,-,-,-,-,0.4,0.1,-,0.3,0.9,0.4,1.3,Alessandro Zanoli,19(9),1634,1,-,3,-,0.4,72,0.7,1,6.48,SerieA,Genoa CFC,Right-Back,right,"Jun 30, 2025",€6.00m
26,Como,34 years old (01-02-1991),"1,74m",Italy,Midfielder,1.1,0.3,0.8,-,-,-,-,-,-,-,0.1,0.2,0.7,0.2,-,2.1,-,0.1,0.1,0.7,0.6,-,-,-,,0.3,0.3,0.1,0.2,-,17.7,1.4,2,12,2.2,0.1,-,-,-,-,-,0.1,0.1,-,-,0.6,0.7,1.2,Alessio Iovine,3(6),374,-,-,2,-,0.1,76.1,0.3,-,6.15,SerieA,Como 1907,Right Midfield,right,-,€400k
27,Lazio,30 years old (12-01-1995),"1,85m",Italy,"Defender (Centre, Left)",3.9,2.5,1.4,-,-,-,-,-,-,-,0.4,0.1,0.5,0.1,-,3.6,-,-,-,0.4,0.9,0.1,-,-,,0.8,0.3,-,0.3,0.1,53.9,1.6,1.6,48.2,2.5,0.2,-,-,-,-,-,0.5,-,0.1,0.4,1.5,0.2,1.7,Alessio Romagnoli,27(1),2315,2,-,3,1,0.5,92.3,2.5,-,6.69,SerieA,SS Lazio,Centre-Back,left,"Jun 30, 2027",€12.00m
28,Venezia,26 years old (03-03-1999),"1,82m",Italy,"Midfielder (Left, Right)",0.9,0.3,0.6,-,-,-,-,-,-,-,0.2,0.1,1.6,0.2,-,1.5,2.7,1.3,4,2.1,1.9,0.1,0.1,-,,0.9,1.4,0.4,1,0.2,23,0.6,1.6,14.9,5.9,1.9,1.2,-,-,-,-,1,0.1,-,0.9,3.2,1.4,4.6,Alessio Zerbin,13(1),1167,1,-,3,-,1,67.7,0.3,3,6.83,SerieA,Venezia FC,Left Winger,right,"Jun 30, 2025",€4.00m
29,Napoli,28 years old (22-03-1997),"1,90m",Italy,Goalkeeper,0.2,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,0.1,-,-,-,-,,-,-,-,-,-,31.3,4.4,4.7,21.8,0.4,-,-,1.8,-,1.1,0.7,-,-,-,-,-,-,-,Alex Meret,30,2646,-,-,-,-,-,83.8,0.2,-,6.67,SerieA,SSC Napoli,Goalkeeper,left,"Jun 30, 2025",€12.00m
30,Roma,25 years old (27-06-1999),"1,80m",Belgium,"Midfielder (Left, Right)",0.6,0.4,0.2,0.1,-,-,-,-,0.1,0.2,0.1,-,0.6,0.2,-,0.4,1.5,0.9,2.4,1.3,0.7,0.3,0.2,0.1,,0.4,1.2,0.2,1,-,30.5,1.1,0.4,25.1,3.9,1.8,0.6,-,-,-,-,0.9,0.3,0.1,0.6,1.6,0.7,2.3,Alexis Saelemaekers,15(4),1219,6,3,4,-,0.9,85.7,0.4,1,7.07,SerieA,AS Roma,Right Winger,right,"Jun 30, 2025",€17.00m
31,Udinese,36 years old (19-12-1988),"1,69m",Chile,"Midfielder (Centre, Left, Right), Forward",1.2,0.1,1.1,-,-,-,-,-,-,-,-,-,0.4,-,-,-,0.3,0.2,0.5,0.8,0.3,-,-,-,,0.3,0.2,0.1,0.1,0.4,12.7,0.7,0.2,9.9,1.9,1.2,0.8,-,-,-,-,0.5,0.2,-,0.3,0.3,0.4,0.7,Alexis Sanchez,5(5),358,-,-,-,-,0.5,83.5,0.1,-,6.13,SerieA,Udinese Calcio,Centre-Forward,right,"Jun 30, 2026",€2.00m
32,Venezia,32 years old (10-03-1993),"1,78m",Ghana,Defensive Midfielder (C),1.2,0.6,0.6,-,-,-,-,-,-,-,0.1,0.1,0.3,0.1,-,0.4,0.6,0.8,1.4,0.7,1.4,-,-,-,,0.5,0.7,0.1,0.6,-,29.8,1.3,1.7,23.4,3.4,0.9,0.9,-,-,-,-,0.9,0.8,-,0.2,1.1,0.6,1.6,Alfred Duncan,12(4),959,-,-,2,-,0.9,83,0.6,-,6.4,SerieA,Venezia FC,Central Midfield,left,"Jun 30, 2026",€2.50m
33,Torino,21 years old (05-01-2004),"1,89m",France,Defender,0.7,0.2,0.5,-,-,-,-,-,-,-,0.1,-,-,0.1,0.1,0.5,0.3,0.1,0.4,-,0.3,0.1,0.1,-,,-,0.1,-,0.1,-,4.7,0.1,0.1,3.6,0.9,0.3,0.3,-,-,-,-,0.1,-,-,0.1,0.4,-,0.4,Ali Dembele,1(10),132,1,-,1,1,0.1,78.8,0.2,-,6.02,SerieA,Torino FC,Right Midfield,right,"Jun 30, 2026",€800k
34,Como,23 years old (03-11-2001),"1,82m",Gambia,"Midfielder (Left, Right)",1,0.4,0.6,-,-,-,-,-,0.1,0.1,-,0.1,0.6,0.1,-,0.3,1.6,1,2.6,1.9,1.5,-,-,-,,0.4,0.8,-,0.8,0.5,18.9,0.5,0.3,14.1,4,1.6,1.3,-,-,-,-,1,0.5,-,0.5,2.4,1,3.4,Alieu Fadera,20(6),1628,1,3,2,1,1,77,0.4,-,6.69,SerieA,Como 1907,Left Winger,right,"Jun 30, 2028",€5.00m
35,Torino,19 years old (14-05-2005),"1,85m",Sweden,Forward,1.9,0.8,1.1,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.1,0.8,0.4,1.2,0.8,0.8,0.1,-,-,,-,0.3,-,0.3,0.1,5.2,0.2,0.1,3.4,1.4,0.9,0.6,-,-,-,-,0.6,0.3,0.1,0.3,0.3,0.2,0.5,Alieu Njie,0(16),381,1,-,1,-,0.6,69.9,0.8,-,6.24,SerieA,Torino FC,Left Winger,right,"Jun 30, 2027",€2.50m
36,Verona,18 years old (22-10-2006),"1,81m",,Forward,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,,-,-,-,-,-,4,-,-,3,1,-,-,-,-,-,-,1,1,-,-,-,-,-,Alphadjo Cisse,0(2),7,-,-,-,-,1,75,0.5,-,6.2,SerieA,Hellas Verona,Attacking Midfield,,-,€1.40m
37,Verona,24 years old (11-03-2001),"1,88m",Sweden,"Attacking Midfielder (Left), Forward",4.4,1.9,2.5,-,-,-,-,-,-,-,0.1,-,0.4,-,-,0.5,0.5,0.4,0.9,0.6,1.4,0.1,0.1,-,,0.1,0.7,-,0.7,0.4,14.2,0.4,0.2,9.7,3.9,1.6,0.9,-,-,-,-,0.7,0.2,0.1,0.5,0.8,0.1,0.9,Amin Sarr,21(7),1628,4,1,1,-,0.7,70.9,1.9,-,6.38,SerieA,Hellas Verona,Centre-Forward,right,"Jun 30, 2025",€4.00m
38,Fiorentina,23 years old (24-01-2002),"1,97m",France,Defensive Midfielder (C),1.3,0.7,0.7,-,-,-,-,-,-,-,-,-,0.4,0.2,-,1.1,0.3,0.4,0.7,0.6,1.2,-,-,-,,0.2,0.3,-,0.3,-,19.4,0.5,0.5,16.7,1.8,0.7,0.4,-,-,-,-,0.3,0.1,-,0.1,1,0.4,1.5,Amir Richardson,6(17),798,-,-,5,-,0.3,88.4,0.7,-,6.35,SerieA,ACF Fiorentina,Central Midfield,left,"Jun 30, 2029",€9.00m
39,Napoli,31 years old (24-02-1994),"1,92m",Kosovo,"Defender (Centre, Left)",4.8,3.4,1.5,-,-,-,-,-,-,0.1,0.7,0.1,0.5,0.1,-,4.6,-,0.1,0.1,0.3,1.1,-,-,-,,0.7,0.2,0.1,0.1,-,71.6,4.4,2.7,61,3.5,0.3,0.2,-,-,-,-,0.8,-,0.2,0.5,1,0.3,1.2,Amir Rrahmani,34,3046,1,2,2,-,0.8,91.3,3.4,-,6.98,SerieA,SSC Napoli,Centre-Back,right,"Jun 30, 2027",€12.00m
40,Parma Calcio 1913,20 years old (26-03-2005),"1,74m",,Forward,0.9,0.5,0.4,0.1,-,-,-,-,0.1,0.1,0.1,-,0.1,0.3,-,0.3,0.7,0.3,0.9,0.7,0.4,0.1,-,0.1,,0.3,0.6,-,0.6,-,9.6,0.3,0.5,7.3,1.4,0.7,0.1,-,-,-,-,0.5,0.1,-,0.3,0.2,0.1,0.3,Anas Haj Mohamed,3(12),448,1,2,4,-,0.5,79.9,0.5,-,6.33,SerieA,Parma Calcio 1913,Right Winger,right,"Jun 30, 2026",€1.80m
41,Roma,23 years old (18-01-2002),"1,81m",Netherlands,"Defender (Left), Defensive Midfielder (C)",0.3,-,0.3,0.3,-,-,-,-,-,0.3,-,-,-,-,-,0.7,1,-,1,0.3,0.7,-,-,-,,0.3,0.7,-,0.7,-,27,0.3,0.7,23,3,0.7,0.3,-,-,-,-,0.7,-,0.3,0.3,0.3,-,0.3,Anass Salah Eddine,2(1),153,-,1,-,-,0.7,86.4,-,-,6.32,SerieA,AS Roma,Left-Back,left,"Jun 30, 2028",€8.00m
42,Juventus,25 years old (20-02-2000),"1,82m",Italy,"Defender (Left, Right), Midfielder (Left, Right)",0.6,0.2,0.3,-,-,-,-,-,-,-,0.1,0.4,0.6,0.1,-,0.6,0.7,0.8,1.5,0.7,0.8,0.1,-,0.1,,0.5,1,0.1,0.9,0.1,45.1,1.5,0.3,39.9,3.4,1.4,0.6,-,-,-,-,0.5,0.3,-,0.1,1.4,0.5,1.9,Andrea Cambiaso,22(8),2006,2,1,4,-,0.5,91.8,0.2,2,6.66,SerieA,Juventus FC,Left-Back,both,"Jun 30, 2029",€40.00m
43,Monza,24 years old (04-02-2001),"1,87m",Italy,"Defender (Centre, Left)",3.1,1.5,1.6,-,-,-,-,-,-,-,0.6,0.1,0.5,0.2,-,4,0.1,0.2,0.3,0.7,1.2,-,-,-,,1,0.2,-,0.1,-,41.8,1.7,2.1,34,4,0.6,0.2,-,-,-,-,0.3,0.1,-,0.2,2.3,0.8,3.1,Andrea Carboni,22(1),1926,-,1,5,-,0.3,85.4,1.5,-,6.53,SerieA,AC Monza,Centre-Back,left,"Jun 30, 2027",€3.40m
44,Fiorentina,25 years old (11-05-1999),"1,84m",Italy,"Attacking Midfielder (Centre, Right)",1.2,0.5,0.7,-,-,-,-,-,-,-,-,-,0.3,-,-,0.4,0.7,0.5,1.1,1,1,0.1,0.1,-,,0.4,0.8,0.1,0.7,-,18.5,0.7,0.7,15.2,1.9,1.1,1,-,-,-,-,1.6,0.6,-,1,0.7,0.4,1,Andrea Colpani,17(5),1410,2,1,1,-,1.6,86,0.5,-,6.52,SerieA,ACF Fiorentina,Attacking Midfield,left,"Jun 30, 2025",€12.00m
45,Monza,29 years old (30-06-1995),"1,90m",Italy,Forward,2.3,0.7,1.6,-,-,-,-,-,-,-,-,0.1,-,0.1,-,0.1,0.2,0.2,0.4,0.4,0.5,-,-,-,,0.1,0.1,-,0.1,0.3,6.3,0.3,0.1,3.8,2.1,0.8,0.3,-,-,-,-,0.4,0.1,-,0.3,0.1,0.1,0.2,Andrea Petagna,2(8),291,-,-,1,-,0.4,65.1,0.7,-,6.01,SerieA,AC Monza,Centre-Forward,left,"Jun 30, 2027",€1.40m
46,Genoa,25 years old (19-05-1999),"1,85m",Italy,Forward,5.5,2.4,3,-,-,-,-,-,-,-,0.1,-,0.3,0.1,-,0.8,0.4,0.3,0.7,1.2,0.6,0.2,0.2,-,,-,0.4,-,0.4,0.5,17.5,0.3,0.4,10.8,5.9,1.9,1,-,-,-,-,2.2,0.5,0.1,1.6,0.3,0.2,0.4,Andrea Pinamonti,30(3),2603,8,1,4,-,2.2,63.7,2.4,5,6.59,SerieA,Genoa CFC,Centre-Forward,right,"Jun 30, 2025",€16.00m
47,Parma Calcio 1913,21 years old (25-10-2003),"1,89m",France,Forward,2.5,0.7,1.8,-,-,-,-,-,0.1,0.1,0.1,0.1,0.5,0.1,-,0.4,0.9,0.9,1.8,1.2,0.5,0.2,0.2,-,,0.1,0.8,-,0.8,0.4,14.9,0.3,0.2,11.2,3.2,2.2,1.9,-,-,-,-,1.8,0.3,0.2,1.2,0.8,0.2,0.9,Ange Yoan Bonny,26(7),2211,6,3,2,-,1.8,77.3,0.7,-,6.6,SerieA,Parma Calcio 1913,Centre-Forward,right,"Jun 30, 2027",€20.00m
48,Roma,28 years old (04-01-1997),"1,71m",Spain,"Defender (Centre, Left), Midfielder (Left)",1.6,0.9,0.8,-,-,-,-,-,-,-,0.3,0.3,0.7,-,-,2.3,0.4,0.3,0.7,0.8,0.9,0.1,0.1,-,,0.8,1.3,0.5,0.8,0.1,42.9,2.5,2.9,32.6,5,0.7,0.3,-,-,-,-,0.6,0.2,-,0.4,1.3,0.5,1.8,Angelino,32(2),2819,2,1,1,-,0.6,81.8,0.9,3,6.82,SerieA,AS Roma,Left-Back,left,"Jun 30, 2028",€15.00m
