,CLB,Name,Main_position,Height,Foot,Contract,Market_Value
86,Brentford FC,Mathias Jensen,Central Midfield,"1,80m",right,"Jun 30, 2026",€16.00m
87,Brentford FC,Josh Dasilva,Central Midfield,"1,84m",left,"Jun 30, 2025",€7.00m
88,Brentford FC,Paris Maghoma,Central Midfield,"1,84m",right,"Jun 30, 2027",€600k
89,Brentford FC,Mikkel Damsgaard,Attacking Midfield,"1,80m",right,"Jun 30, 2030",€25.00m
90,Brentford FC,Fábio Carvalho,Attacking Midfield,"1,70m",right,"Jun 30, 2029",€15.00m
91,Brentford FC,Yegor Yarmolyuk,Attacking Midfield,"1,80m",right,"Jun 30, 2028",€12.00m
92,Brentford FC,Kevin Schade,Left Winger,"1,85m",right,"Jun 30, 2028",€27.00m
93,Brentford FC,Keane Lewis-Potter,Left Winger,"1,70m",right,"Jun 30, 2031",€23.00m
94,Brentford FC,Gustavo Nunes,Left Winger,"1,73m",right,"Jun 30, 2030",€10.00m
95,Brentford FC,Bryan Mbeumo,Right Winger,"1,71m",left,"Jun 30, 2026",€50.00m
96,Brentford FC,Yoane Wissa,Centre-Forward,"1,76m",right,"Jun 30, 2026",€30.00m
97,Brentford FC,Igor Thiago,Centre-Forward,"1,91m",right,"Jun 30, 2029",€22.00m
98,Brighton & Hove Albion,Bart Verbruggen,Goalkeeper,"1,94m",right,"Jun 30, 2028",€25.00m
99,Brighton & Hove Albion,Carl Rushworth,Goalkeeper,"1,91m",,"Jun 30, 2027",€3.00m
100,Brighton & Hove Albion,Jason Steele,Goalkeeper,"1,88m",right,"Jun 30, 2026",€2.00m
101,Brighton & Hove Albion,Tom McGill,Goalkeeper,"1,85m",right,"Jun 30, 2025",€600k
102,Brighton & Hove Albion,Jan Paul van Hecke,Centre-Back,"1,89m",right,"Jun 30, 2027",€32.00m
103,Brighton & Hove Albion,Igor,Centre-Back,"1,88m",left,"Jun 30, 2027",€22.00m
104,Brighton & Hove Albion,Adam Webster,Centre-Back,"1,90m",right,"Jun 30, 2026",€12.00m
105,Brighton & Hove Albion,Lewis Dunk,Centre-Back,"1,92m",right,"Jun 30, 2026",€8.00m
106,Brighton & Hove Albion,Eiran Cashin,Centre-Back,"1,84m",left,"Jun 30, 2030",€8.00m
107,Brighton & Hove Albion,Ferdi Kadıoğlu,Left-Back,"1,74m",right,"Jun 30, 2028",€30.00m
108,Brighton & Hove Albion,Pervis Estupiñán,Left-Back,"1,75m",left,"Jun 30, 2027",€30.00m
109,Brighton & Hove Albion,Tariq Lamptey,Right-Back,"1,63m",right,"Jun 30, 2025",€12.00m
110,Brighton & Hove Albion,Joël Veltman,Right-Back,"1,84m",right,"Jun 30, 2025",€7.00m
111,Brighton & Hove Albion,Carlos Baleba,Defensive Midfield,"1,79m",left,"Jun 30, 2028",€35.00m
112,Brighton & Hove Albion,Mats Wieffer,Defensive Midfield,"1,88m",right,"Jun 30, 2029",€27.00m
113,Brighton & Hove Albion,Jack Hinshelwood,Central Midfield,"1,82m",right,"Jun 30, 2028",€24.00m
114,Brighton & Hove Albion,Matt O'Riley,Central Midfield,"1,89m",left,"Jun 30, 2029",€22.00m
115,Brighton & Hove Albion,Yasin Ayari,Central Midfield,"1,72m",right,"Jun 30, 2027",€17.00m
116,Brighton & Hove Albion,Diego Gómez,Central Midfield,"1,85m",right,-,€13.00m
117,Brighton & Hove Albion,James Milner,Central Midfield,"1,75m",right,"Jun 30, 2025",€1.00m
118,Brighton & Hove Albion,Kaoru Mitoma,Left Winger,"1,78m",right,"Jun 30, 2027",€45.00m
119,Brighton & Hove Albion,Simon Adingra,Left Winger,"1,75m",right,"Jun 30, 2026",€30.00m
120,Brighton & Hove Albion,Yankuba Minteh,Right Winger,"1,80m",left,"Jun 30, 2029",€30.00m
121,Brighton & Hove Albion,Brajan Gruda,Right Winger,"1,78m",left,"Jun 30, 2028",€25.00m
122,Brighton & Hove Albion,Solly March,Right Winger,"1,80m",left,"Jun 30, 2026",€8.00m
123,Brighton & Hove Albion,João Pedro,Centre-Forward,"1,82m",right,"Jun 30, 2028",€50.00m
124,Brighton & Hove Albion,Georginio Rutter,Centre-Forward,"1,82m",left,"Jun 30, 2028",€32.00m
125,Brighton & Hove Albion,Danny Welbeck,Centre-Forward,"1,85m",right,"Jun 30, 2026",€5.00m
126,Chelsea FC,Robert Sánchez,Goalkeeper,"1,97m",right,"Jun 30, 2030",€20.00m
127,Chelsea FC,Filip Jørgensen,Goalkeeper,"1,92m",right,"Jun 30, 2031",€20.00m
128,Chelsea FC,Marcus Bettinelli,Goalkeeper,"1,93m",right,"Jun 30, 2026",€800k
129,Chelsea FC,Lucas Bergström,Goalkeeper,"2,05m",right,"Jun 30, 2025",€700k
130,Chelsea FC,Levi Colwill,Centre-Back,"1,87m",left,"Jun 30, 2029",€55.00m
131,Chelsea FC,Wesley Fofana,Centre-Back,"1,85m",right,"Jun 30, 2029",€27.00m
132,Chelsea FC,Benoît Badiashile,Centre-Back,"1,94m",left,"Jun 30, 2030",€25.00m
133,Chelsea FC,Tosin Adarabioyo,Centre-Back,"1,97m",right,"Jun 30, 2028",€20.00m
134,Chelsea FC,Trevoh Chalobah,Centre-Back,"1,92m",right,"Jun 30, 2028",€17.00m
135,Chelsea FC,Aarón Anselmino,Centre-Back,"1,86m",right,"Jun 30, 2031",€8.00m
136,Chelsea FC,Marc Cucurella,Left-Back,"1,73m",left,"Jun 30, 2028",€30.00m
137,Chelsea FC,Malo Gusto,Right-Back,"1,78m",right,"Jun 30, 2030",€35.00m
138,Chelsea FC,Reece James,Right-Back,"1,80m",right,"Jun 30, 2028",€30.00m
139,Chelsea FC,Josh Acheampong,Right-Back,"1,85m",right,"Jun 30, 2029",€5.00m
140,Chelsea FC,Moisés Caicedo,Defensive Midfield,"1,78m",right,"Jun 30, 2031",€80.00m
141,Chelsea FC,Roméo Lavia,Defensive Midfield,"1,81m",right,"Jun 30, 2030",€40.00m
142,Chelsea FC,Enzo Fernández,Central Midfield,"1,78m",right,"Jun 30, 2032",€75.00m
143,Chelsea FC,Kiernan Dewsbury-Hall,Central Midfield,"1,76m",left,"Jun 30, 2029",€22.00m
144,Chelsea FC,Mathis Amougou,Central Midfield,"1,77m",right,"Jun 30, 2033",€10.00m
145,Chelsea FC,Cole Palmer,Attacking Midfield,"1,85m",left,"Jun 30, 2033",€130.00m
146,Chelsea FC,Omari Kellyman,Attacking Midfield,"1,91m",left,"Jun 30, 2030",€1.50m
147,Chelsea FC,Mykhaylo Mudryk,Left Winger,"1,75m",right,"Jun 30, 2031",€30.00m
148,Chelsea FC,Jadon Sancho,Left Winger,"1,80m",right,"Jun 30, 2025",€30.00m
149,Chelsea FC,Tyrique George,Left Winger,"1,81m",right,"Jun 30, 2027",€3.50m
150,Chelsea FC,Pedro Neto,Right Winger,"1,74m",left,"Jun 30, 2031",€50.00m
151,Chelsea FC,Noni Madueke,Right Winger,"1,82m",left,"Jun 30, 2030",€40.00m
152,Chelsea FC,Nicolas Jackson,Centre-Forward,"1,87m",right,"Jun 30, 2033",€55.00m
153,Chelsea FC,Christopher Nkunku,Centre-Forward,"1,77m",right,"Jun 30, 2029",€45.00m
154,Chelsea FC,David Datro Fofana,Centre-Forward,"1,82m",right,"Jun 30, 2029",€8.50m
155,Chelsea FC,Marc Guiu,Centre-Forward,"1,87m",right,"Jun 30, 2029",€8.00m
156,Crystal Palace,Dean Henderson,Goalkeeper,"1,88m",right,"Jun 30, 2028",€15.00m
157,Crystal Palace,Matt Turner,Goalkeeper,"1,91m",right,"Jun 30, 2025",€4.00m
158,Crystal Palace,Remi Matthews,Goalkeeper,"1,92m",right,"Jun 30, 2025",€500k
159,Crystal Palace,Marc Guéhi,Centre-Back,"1,82m",right,"Jun 30, 2026",€45.00m
160,Crystal Palace,Maxence Lacroix,Centre-Back,"1,90m",right,"Jun 30, 2029",€22.00m
161,Crystal Palace,Chadi Riad,Centre-Back,"1,87m",left,"Jun 30, 2029",€15.00m
162,Crystal Palace,Chris Richards,Centre-Back,"1,88m",right,"Jun 30, 2027",€12.00m
163,Crystal Palace,Tyrick Mitchell,Left-Back,"1,81m",left,"Jun 30, 2025",€25.00m
164,Crystal Palace,Ben Chilwell,Left-Back,"1,80m",left,"May 31, 2025",€18.00m
165,Crystal Palace,Daniel Muñoz,Right-Back,"1,81m",right,"Jun 30, 2028",€25.00m
166,Crystal Palace,Nathaniel Clyne,Right-Back,"1,75m",right,"Jun 30, 2025",€1.50m
167,Crystal Palace,Caleb Kporha,Right-Back,-,right,"Jun 30, 2029",€1.00m
168,Crystal Palace,Joel Ward,Right-Back,"1,86m",right,"Jun 30, 2025",€600k
169,Crystal Palace,Adam Wharton,Defensive Midfield,"1,82m",left,"Jun 30, 2029",€35.00m
170,Crystal Palace,Cheick Doucouré,Defensive Midfield,"1,80m",right,"Jun 30, 2029",€30.00m
171,Crystal Palace,Jefferson Lerma,Defensive Midfield,"1,79m",right,"Jun 30, 2026",€12.00m
172,Crystal Palace,Kaden Rodney,Defensive Midfield,-,right,-,€200k
173,Crystal Palace,Will Hughes,Central Midfield,"1,85m",left,"Jun 30, 2027",€9.00m
174,Crystal Palace,Justin Devenny,Central Midfield,"1,84m",left,"Jun 30, 2027",€3.00m
175,Crystal Palace,Eberechi Eze,Attacking Midfield,"1,78m",right,"Jun 30, 2027",€55.00m
176,Crystal Palace,Daichi Kamada,Attacking Midfield,"1,80m",right,"Jun 30, 2026",€15.00m
177,Crystal Palace,Matheus França,Attacking Midfield,"1,84m",right,"Jun 30, 2028",€10.00m
178,Crystal Palace,Ismaïla Sarr,Right Winger,"1,85m",right,"Jun 30, 2029",€22.00m
179,Crystal Palace,Romain Esse,Right Winger,"1,78m",left,"Jun 30, 2030",€12.00m
180,Crystal Palace,Malcolm Ebiowei,Right Winger,"1,85m",left,"Jun 30, 2027",€1.20m
181,Crystal Palace,Jean-Philippe Mateta,Centre-Forward,"1,92m",right,"Jun 30, 2026",€30.00m
182,Crystal Palace,Eddie Nketiah,Centre-Forward,"1,75m",right,"Jun 30, 2029",€22.00m
183,Everton FC,Jordan Pickford,Goalkeeper,"1,85m",left,"Jun 30, 2027",€20.00m
184,Everton FC,João Virgínia,Goalkeeper,"1,92m",left,"Jun 30, 2025",€800k
185,Everton FC,Asmir Begovic,Goalkeeper,"1,99m",right,"Jun 30, 2025",€300k
186,Everton FC,Jarrad Branthwaite,Centre-Back,"1,95m",left,"Jun 30, 2027",€50.00m
187,Everton FC,James Tarkowski,Centre-Back,"1,85m",right,"Jun 30, 2026",€10.00m
188,Everton FC,Michael Keane,Centre-Back,"1,88m",right,"Jun 30, 2025",€6.00m
189,Everton FC,Vitaliy Mykolenko,Left-Back,"1,80m",left,"Jun 30, 2026",€28.00m
190,Everton FC,Nathan Patterson,Right-Back,"1,89m",right,"Jun 30, 2027",€15.00m
191,Everton FC,Jake O'Brien,Right-Back,"1,97m",right,"Jun 30, 2028",€15.00m
192,Everton FC,Ashley Young,Right-Back,"1,75m",both,"Jun 30, 2025",€500k
193,Everton FC,Séamus Coleman,Right-Back,"1,77m",right,"Jun 30, 2025",€500k
194,Everton FC,Orel Mangala,Defensive Midfield,"1,78m",right,"Jun 30, 2025",€20.00m
195,Everton FC,James Garner,Defensive Midfield,"1,82m",right,"Jun 30, 2026",€20.00m
196,Everton FC,Idrissa Gueye,Defensive Midfield,"1,74m",right,"Jun 30, 2025",€2.00m
197,Everton FC,Carlos Alcaraz,Central Midfield,"1,76m",right,"Jun 30, 2025",€14.00m
198,Everton FC,Tim Iroegbunam,Central Midfield,"1,83m",right,"Jun 30, 2027",€10.00m
199,Everton FC,Abdoulaye Doucouré,Central Midfield,"1,83m",right,"Jun 30, 2025",€8.00m
200,Everton FC,Dwight McNeil,Attacking Midfield,"1,83m",left,"Jun 30, 2027",€25.00m
201,Everton FC,Iliman Ndiaye,Left Winger,"1,80m",right,"Jun 30, 2029",€22.00m
202,Everton FC,Jesper Lindstrøm,Right Winger,"1,82m",right,"Jun 30, 2025",€20.00m
203,Everton FC,Jack Harrison,Right Winger,"1,75m",left,"May 31, 2025",€16.00m
204,Everton FC,Dominic Calvert-Lewin,Centre-Forward,"1,89m",right,"Jun 30, 2025",€20.00m
205,Everton FC,Beto,Centre-Forward,"1,94m",right,"Jun 30, 2027",€20.00m
206,Everton FC,Armando Broja,Centre-Forward,"1,91m",right,"May 31, 2025",€13.00m
207,Everton FC,Chermiti,Centre-Forward,"1,92m",right,"Jun 30, 2027",€9.00m
208,Fulham FC,Bernd Leno,Goalkeeper,"1,90m",right,"Jun 30, 2027",€11.00m
209,Fulham FC,Steven Benda,Goalkeeper,"1,92m",right,"Jun 30, 2026",€1.00m
210,Fulham FC,Joachim Andersen,Centre-Back,"1,92m",right,"Jun 30, 2029",€32.00m
211,Fulham FC,Calvin Bassey,Centre-Back,"1,85m",left,"Jun 30, 2027",€25.00m
212,Fulham FC,Issa Diop,Centre-Back,"1,94m",right,"Jun 30, 2027",€16.00m
213,Fulham FC,Jorge Cuenca,Centre-Back,"1,90m",left,"Jun 30, 2028",€6.00m
214,Fulham FC,Antonee Robinson,Left-Back,"1,83m",left,"Jun 30, 2028",€35.00m
215,Fulham FC,Ryan Sessegnon,Left-Back,"1,78m",left,"Jun 30, 2026",€9.00m
216,Fulham FC,Kenny Tete,Right-Back,"1,80m",right,"Jun 30, 2025",€15.00m
217,Fulham FC,Timothy Castagne,Right-Back,"1,85m",right,"Jun 30, 2027",€15.00m
218,Fulham FC,Sander Berge,Defensive Midfield,"1,95m",right,"Jun 30, 2029",€25.00m
219,Fulham FC,Saša Lukić,Central Midfield,"1,82m",right,"Jun 30, 2027",€10.00m
220,Fulham FC,Harrison Reed,Central Midfield,"1,81m",right,"Jun 30, 2027",€7.00m
221,Fulham FC,Tom Cairney,Central Midfield,"1,85m",left,"Jun 30, 2025",€2.00m
222,Fulham FC,Josh King,Central Midfield,"1,73m",right,-,€1.00m
223,Fulham FC,Emile Smith Rowe,Attacking Midfield,"1,82m",right,"Jun 30, 2029",€32.00m
224,Fulham FC,Andreas Pereira,Attacking Midfield,"1,78m",right,"Jun 30, 2026",€20.00m
225,Fulham FC,Alex Iwobi,Left Winger,"1,83m",right,"Jun 30, 2028",€25.00m
226,Fulham FC,Willian,Left Winger,"1,75m",right,"Jun 30, 2025",€1.00m
227,Fulham FC,Martial Godo,Left Winger,"1,69m",right,"Jun 30, 2028",€600k
228,Fulham FC,Reiss Nelson,Right Winger,"1,75m",right,"Jun 30, 2025",€18.00m
229,Fulham FC,Harry Wilson,Right Winger,"1,73m",left,"Jun 30, 2026",€17.00m
230,Fulham FC,Adama Traoré,Right Winger,"1,78m",right,"Jun 30, 2025",€10.00m
231,Fulham FC,Rodrigo Muniz,Centre-Forward,"1,86m",right,"Jun 30, 2026",€20.00m
232,Fulham FC,Raúl Jiménez,Centre-Forward,"1,87m",right,"Jun 30, 2025",€5.00m
233,Fulham FC,Carlos Vinícius,Centre-Forward,"1,90m",left,"Jun 30, 2025",€4.00m
234,Ipswich Town,Arijanet Muric,Goalkeeper,"1,98m",right,"Jun 30, 2028",€6.00m
235,Ipswich Town,Christian Walton,Goalkeeper,"1,95m",left,"Jun 30, 2026",€1.50m
236,Ipswich Town,Alex Palmer,Goalkeeper,"1,91m",right,"Jun 30, 2028",€1.20m
237,Ipswich Town,Cieran Slicker,Goalkeeper,-,,"Jun 30, 2028",€300k
238,Ipswich Town,Jacob Greaves,Centre-Back,"1,93m",left,"Jun 30, 2029",€20.00m
239,Ipswich Town,Dara O'Shea,Centre-Back,"1,89m",right,"Jun 30, 2029",€14.00m
240,Ipswich Town,Ben Godfrey,Centre-Back,"1,84m",right,"Jun 30, 2025",€8.00m
241,Ipswich Town,Cameron Burgess,Centre-Back,"1,94m",left,"Jun 30, 2025",€2.50m
242,Ipswich Town,Luke Woolfenden,Centre-Back,"1,93m",right,"Jun 30, 2027",€2.00m
243,Ipswich Town,Leif Davis,Left-Back,"1,82m",left,"Jun 30, 2028",€25.00m
244,Ipswich Town,Conor Townsend,Left-Back,"1,83m",left,"Jun 30, 2026",€1.20m
245,Ipswich Town,Ben Johnson,Right-Back,"1,84m",right,"Jun 30, 2028",€9.00m
246,Ipswich Town,Axel Tuanzebe,Right-Back,"1,85m",right,"Jun 30, 2025",€5.00m
247,Ipswich Town,Kalvin Phillips,Defensive Midfield,"1,79m",right,"Jun 30, 2025",€15.00m
248,Ipswich Town,Jens Cajuste,Defensive Midfield,"1,88m",right,"Jun 30, 2025",€12.00m
249,Ipswich Town,Jack Taylor,Central Midfield,"1,85m",right,"Jun 30, 2026",€3.00m
250,Ipswich Town,Sam Morsy,Central Midfield,"1,75m",right,"Jun 30, 2026",€900k
251,Ipswich Town,Massimo Luongo,Central Midfield,"1,76m",right,"Jun 30, 2025",€500k
252,Ipswich Town,Julio Enciso,Attacking Midfield,"1,73m",right,"Jun 30, 2025",€22.00m
253,Ipswich Town,Omari Hutchinson,Attacking Midfield,"1,74m",left,"Jun 30, 2029",€22.00m
254,Ipswich Town,Sammie Szmodics,Attacking Midfield,"1,68m",right,"Jun 30, 2028",€12.00m
255,Ipswich Town,Jaden Philogene,Left Winger,"1,81m",right,"Jun 30, 2029",€18.00m
256,Ipswich Town,Jack Clarke,Left Winger,"1,81m",right,"Jun 30, 2029",€15.00m
257,Ipswich Town,Nathan Broadhead,Left Winger,"1,78m",right,"Jun 30, 2026",€5.00m
258,Ipswich Town,Chiedozie Ogbene,Right Winger,"1,81m",right,"Jun 30, 2028",€8.00m
259,Ipswich Town,Wes Burns,Right Winger,"1,73m",right,"Jun 30, 2026",€2.50m
260,Ipswich Town,Conor Chaplin,Second Striker,"1,68m",left,"Jun 30, 2026",€8.00m
261,Ipswich Town,Liam Delap,Centre-Forward,"1,86m",right,"Jun 30, 2029",€35.00m
262,Ipswich Town,George Hirst,Centre-Forward,"1,91m",right,"Jun 30, 2027",€5.00m
263,Leicester City,Mads Hermansen,Goalkeeper,"1,87m",right,"Jun 30, 2028",€15.00m
264,Leicester City,Daniel Iversen,Goalkeeper,"1,93m",right,"Jun 30, 2025",€3.00m
265,Leicester City,Danny Ward,Goalkeeper,"1,91m",right,"Jun 30, 2025",€1.50m
266,Leicester City,Jakub Stolarczyk,Goalkeeper,"1,94m",right,"Jun 30, 2026",€400k
267,Leicester City,Wout Faes,Centre-Back,"1,87m",right,"Jun 30, 2027",€20.00m
268,Leicester City,Caleb Okoli,Centre-Back,"1,91m",right,"Jun 30, 2029",€12.00m
269,Leicester City,Harry Souttar,Centre-Back,"1,98m",right,"Jun 30, 2028",€8.00m
270,Leicester City,Conor Coady,Centre-Back,"1,85m",right,"Jun 30, 2026",€3.00m
271,Leicester City,Jannik Vestergaard,Centre-Back,"1,99m",both,"Jun 30, 2027",€3.00m
272,Leicester City,Victor Kristiansen,Left-Back,"1,81m",left,"Jun 30, 2028",€16.00m
273,Leicester City,Luke Thomas,Left-Back,"1,81m",left,"Jun 30, 2026",€6.00m
274,Leicester City,James Justin,Right-Back,"1,83m",both,"Jun 30, 2026",€15.00m
